nom_region,code_region,reg_code_name,annee,nb_vp_rechargeables_el,nb_vp
Auvergne-Rhône-Alpes,84,84 - Auvergne-Rhône-Alpes,2020,53154,8138847
Auvergne-Rhône-Alpes,84,84 - Auvergne-Rhône-Alpes,2021,101600,9389922
Auvergne-Rhône-Alpes,84,84 - Auvergne-Rhône-Alpes,2022,148158,9499064
Auvergne-Rhône-Alpes,84,84 - Auvergne-Rhône-Alpes,2023,211804,9626796
Auvergne-Rhône-Alpes,84,84 - Auvergne-Rhône-Alpes,2024,236973,9258323
Bourgogne-Franche-Comté,27,27 - Bourgogne-Franche-Comté,2020,13532,2971652
Bourgogne-Franche-Comté,27,27 - Bourgogne-Franche-Comté,2021,23630,3015838
Bourgogne-Franche-Comté,27,27 - Bourgogne-Franche-Comté,2022,34487,3045674
Bourgogne-Franche-Comté,27,27 - Bourgogne-Franche-Comté,2023,49417,3094329
Bourgogne-Franche-Comté,27,27 - Bourgogne-Franche-Comté,2024,56900,3120644
Bretagne,53,53 - Bretagne,2020,17429,3407382
Bretagne,53,53 - Bretagne,2021,29985,3458104
Bretagne,53,53 - Bretagne,2022,44802,3494995
Bretagne,53,53 - Bretagne,2023,64046,3550911
Bretagne,53,53 - Bretagne,2024,74511,3579526
Centre-Val de Loire,24,24 - Centre-Val de Loire,2020,13975,2627611
Centre-Val de Loire,24,24 - Centre-Val de Loire,2021,23075,2662843
Centre-Val de Loire,24,24 - Centre-Val de Loire,2022,33180,2682768
Centre-Val de Loire,24,24 - Centre-Val de Loire,2023,47391,2724791
Centre-Val de Loire,24,24 - Centre-Val de Loire,2024,54618,2746132
Corse,94,94 - Corse,2020,2458,407829
Corse,94,94 - Corse,2021,5477,419510
Corse,94,94 - Corse,2022,8977,427680
Corse,94,94 - Corse,2023,15560,439511
Corse,94,94 - Corse,2024,16547,450867
Grand Est,44,44 - Grand Est,2020,31189,5756919
Grand Est,44,44 - Grand Est,2021,57330,6099573
Grand Est,44,44 - Grand Est,2022,84951,6132457
Grand Est,44,44 - Grand Est,2023,122656,6234781
Grand Est,44,44 - Grand Est,2024,140554,6183093
Hauts-de-France,32,32 - Hauts-de-France,2020,31117,6243965
Hauts-de-France,32,32 - Hauts-de-France,2021,62123,6828695
Hauts-de-France,32,32 - Hauts-de-France,2022,92389,6925384
Hauts-de-France,32,32 - Hauts-de-France,2023,134525,6993688
Hauts-de-France,32,32 - Hauts-de-France,2024,146090,6786499
Normandie,28,28 - Normandie,2020,18692,3407984
Normandie,28,28 - Normandie,2021,33108,3453766
Normandie,28,28 - Normandie,2022,51120,3502647
Normandie,28,28 - Normandie,2023,76234,3576899
Normandie,28,28 - Normandie,2024,87246,3608124
Nouvelle-Aquitaine,75,75 - Nouvelle-Aquitaine,2020,34781,6326285
Nouvelle-Aquitaine,75,75 - Nouvelle-Aquitaine,2021,62576,6419671
Nouvelle-Aquitaine,75,75 - Nouvelle-Aquitaine,2022,90623,6479679
Nouvelle-Aquitaine,75,75 - Nouvelle-Aquitaine,2023,127667,6578474
Nouvelle-Aquitaine,75,75 - Nouvelle-Aquitaine,2024,146228,6624768
Occitanie,76,76 - Occitanie,2020,35189,6216411
Occitanie,76,76 - Occitanie,2021,63278,6483137
Occitanie,76,76 - Occitanie,2022,93988,6543323
Occitanie,76,76 - Occitanie,2023,135758,6658737
Occitanie,76,76 - Occitanie,2024,156629,6663111
Pays de la Loire,52,52 - Pays de la Loire,2020,20576,3667376
Pays de la Loire,52,52 - Pays de la Loire,2021,34913,3724743
Pays de la Loire,52,52 - Pays de la Loire,2022,51402,3763513
Pays de la Loire,52,52 - Pays de la Loire,2023,73662,3823423
Pays de la Loire,52,52 - Pays de la Loire,2024,86077,3855486
Provence-Alpes-Côte d'Azur,93,93 - Provence-Alpes-Côte d'Azur,2020,38035,5439331
Provence-Alpes-Côte d'Azur,93,93 - Provence-Alpes-Côte d'Azur,2021,82333,6758888
Provence-Alpes-Côte d'Azur,93,93 - Provence-Alpes-Côte d'Azur,2022,121861,6772414
Provence-Alpes-Côte d'Azur,93,93 - Provence-Alpes-Côte d'Azur,2023,174908,6973135
Provence-Alpes-Côte d'Azur,93,93 - Provence-Alpes-Côte d'Azur,2024,188779,6532133
Île-de-France,11,11 - Île-de-France,2020,99433,10054894
Île-de-France,11,11 - Île-de-France,2021,162804,10229737
Île-de-France,11,11 - Île-de-France,2022,230113,10341897
Île-de-France,11,11 - Île-de-France,2023,336727,10583528
Île-de-France,11,11 - Île-de-France,2024,397723,10757531
