Region;Trimestre;Forecast_Values;Bornes_Existantes;Bornes_A_Ajouter_Trimestrielles;Region_Name;sens_trimestre
11.0;1;423748.45515949524;19365;23009;Île-de-France;T1 2025
11.0;2;448506.6916508593;19365;25485;Île-de-France;T2 2025
11.0;3;482854.8050231879;19365;28920;Île-de-France;T3 2025
11.0;4;513074.6380707663;19365;31942;Île-de-France;T4 2025
11.0;5;539119.312250788;19365;34546;Île-de-France;T1 2026
11.0;6;563877.5487421522;19365;37022;Île-de-France;T2 2026
11.0;7;598225.6621144807;19365;40457;Île-de-France;T3 2026
11.0;8;628445.4951620591;19365;43479;Île-de-France;T4 2026
11.0;9;654490.1693420807;19365;46084;Île-de-France;T1 2027
11.0;10;679248.4058334449;19365;48559;Île-de-France;T2 2027
11.0;11;713596.5192057735;19365;51994;Île-de-France;T3 2027
11.0;12;743816.3522533518;19365;55016;Île-de-France;T4 2027
11.0;13;769861.0264333735;19365;57621;Île-de-France;T1 2028
11.0;14;794619.2629247376;19365;60096;Île-de-France;T2 2028
11.0;15;828967.3762970662;19365;63531;Île-de-France;T3 2028
11.0;16;859187.2093446446;19365;66553;Île-de-France;T4 2028
11.0;17;885231.8835246662;19365;69158;Île-de-France;T1 2029
11.0;18;909990.1200160304;19365;71634;Île-de-France;T2 2029
11.0;19;944338.233388359;19365;75068;Île-de-France;T3 2029
11.0;20;974558.0664359373;19365;78090;Île-de-France;T4 2029
11.0;21;1000602.7406159589;19365;80695;Île-de-France;T1 2030
11.0;22;1025360.9771073231;19365;83171;Île-de-France;T2 2030
11.0;23;1059709.0904796517;19365;86605;Île-de-France;T3 2030
11.0;24;1089928.92352723;19365;89627;Île-de-France;T4 2030
24.0;1;57494.558721328314;4460;1289;Centre-Val de Loire;T1 2025
24.0;2;61325.50079871822;4460;1672;Centre-Val de Loire;T2 2025
24.0;3;64461.48932791813;4460;1986;Centre-Val de Loire;T3 2025
24.0;4;67824.590933339;4460;2322;Centre-Val de Loire;T4 2025
24.0;5;70762.29437665585;4460;2616;Centre-Val de Loire;T1 2026
24.0;6;74593.23645404573;4460;2999;Centre-Val de Loire;T2 2026
24.0;7;77729.22498324564;4460;3312;Centre-Val de Loire;T3 2026
24.0;8;81092.32658866653;4460;3649;Centre-Val de Loire;T4 2026
24.0;9;84030.03003198338;4460;3943;Centre-Val de Loire;T1 2027
24.0;10;87860.97210937327;4460;4326;Centre-Val de Loire;T2 2027
24.0;11;90996.96063857317;4460;4639;Centre-Val de Loire;T3 2027
24.0;12;94360.06224399406;4460;4976;Centre-Val de Loire;T4 2027
24.0;13;97297.7656873109;4460;5269;Centre-Val de Loire;T1 2028
24.0;14;101128.70776470078;4460;5652;Centre-Val de Loire;T2 2028
24.0;15;104264.6962939007;4460;5966;Centre-Val de Loire;T3 2028
24.0;16;107627.7978993216;4460;6302;Centre-Val de Loire;T4 2028
24.0;17;110565.50134263842;4460;6596;Centre-Val de Loire;T1 2029
24.0;18;114396.44342002831;4460;6979;Centre-Val de Loire;T2 2029
24.0;19;117532.43194922824;4460;7293;Centre-Val de Loire;T3 2029
24.0;20;120895.53355464913;4460;7629;Centre-Val de Loire;T4 2029
24.0;21;123833.23699796594;4460;7923;Centre-Val de Loire;T1 2030
24.0;22;127664.17907535585;4460;8306;Centre-Val de Loire;T2 2030
24.0;23;130800.16760455577;4460;8620;Centre-Val de Loire;T3 2030
24.0;24;134163.26920997663;4460;8956;Centre-Val de Loire;T4 2030
27.0;1;60360.61483402629;4652;1384;Bourgogne-Franche-Comté;T1 2025
27.0;2;64577.52191715631;4652;1805;Bourgogne-Franche-Comté;T2 2025
27.0;3;68320.2786817573;4652;2180;Bourgogne-Franche-Comté;T3 2025
27.0;4;72051.75599334607;4652;2553;Bourgogne-Franche-Comté;T4 2025
27.0;5;75497.02206167798;4652;2897;Bourgogne-Franche-Comté;T1 2026
27.0;6;79713.929144808;4652;3319;Bourgogne-Franche-Comté;T2 2026
27.0;7;83456.68590940902;4652;3693;Bourgogne-Franche-Comté;T3 2026
27.0;8;87188.16322099778;4652;4066;Bourgogne-Franche-Comté;T4 2026
27.0;9;90633.42928932968;4652;4411;Bourgogne-Franche-Comté;T1 2027
27.0;10;94850.33637245971;4652;4833;Bourgogne-Franche-Comté;T2 2027
27.0;11;98593.09313706071;4652;5207;Bourgogne-Franche-Comté;T3 2027
27.0;12;102324.5704486495;4652;5580;Bourgogne-Franche-Comté;T4 2027
27.0;13;105769.83651698139;4652;5924;Bourgogne-Franche-Comté;T1 2028
27.0;14;109986.74360011141;4652;6346;Bourgogne-Franche-Comté;T2 2028
27.0;15;113729.50036471241;4652;6720;Bourgogne-Franche-Comté;T3 2028
27.0;16;117460.97767630119;4652;7094;Bourgogne-Franche-Comté;T4 2028
27.0;17;120906.2437446331;4652;7438;Bourgogne-Franche-Comté;T1 2029
27.0;18;125123.15082776312;4652;7860;Bourgogne-Franche-Comté;T2 2029
27.0;19;128865.90759236412;4652;8234;Bourgogne-Franche-Comté;T3 2029
27.0;20;132597.3849039529;4652;8607;Bourgogne-Franche-Comté;T4 2029
27.0;21;136042.65097228478;4652;8952;Bourgogne-Franche-Comté;T1 2030
27.0;22;140259.55805541482;4652;9373;Bourgogne-Franche-Comté;T2 2030
27.0;23;144002.31482001583;4652;9748;Bourgogne-Franche-Comté;T3 2030
27.0;24;147733.7921316046;4652;10121;Bourgogne-Franche-Comté;T4 2030
28.0;1;92251.50512800204;5781;3444;Normandie;T1 2025
28.0;2;98943.61125145503;5781;4113;Normandie;T2 2025
28.0;3;104188.04786098149;5781;4637;Normandie;T3 2025
28.0;4;110140.84879269561;5781;5233;Normandie;T4 2025
28.0;5;115192.30987473384;5781;5738;Normandie;T1 2026
28.0;6;121884.41599818681;5781;6407;Normandie;T2 2026
28.0;7;127128.85260771327;5781;6931;Normandie;T3 2026
28.0;8;133081.6535394274;5781;7527;Normandie;T4 2026
28.0;9;138133.11462146562;5781;8032;Normandie;T1 2027
28.0;10;144825.22074491862;5781;8701;Normandie;T2 2027
28.0;11;150069.65735444508;5781;9225;Normandie;T3 2027
28.0;12;156022.45828615918;5781;9821;Normandie;T4 2027
28.0;13;161073.9193681974;5781;10326;Normandie;T1 2028
28.0;14;167766.0254916504;5781;10995;Normandie;T2 2028
28.0;15;173010.46210117688;5781;11520;Normandie;T3 2028
28.0;16;178963.26303289097;5781;12115;Normandie;T4 2028
28.0;17;184014.72411492918;5781;12620;Normandie;T1 2029
28.0;18;190706.83023838222;5781;13289;Normandie;T2 2029
28.0;19;195951.26684790864;5781;13814;Normandie;T3 2029
28.0;20;201904.06777962277;5781;14409;Normandie;T4 2029
28.0;21;206955.52886166098;5781;14914;Normandie;T1 2030
28.0;22;213647.63498511398;5781;15583;Normandie;T2 2030
28.0;23;218892.07159464044;5781;16108;Normandie;T3 2030
28.0;24;224844.87252635453;5781;16703;Normandie;T4 2030
32.0;1;149125.28548334155;9249;5663;Hauts-de-France;T1 2025
32.0;2;158244.60615276583;9249;6575;Hauts-de-France;T2 2025
32.0;3;165273.12025003074;9249;7278;Hauts-de-France;T3 2025
32.0;4;174287.44954240278;9249;8179;Hauts-de-France;T4 2025
32.0;5;180599.1475248261;9249;8810;Hauts-de-France;T1 2026
32.0;6;189718.46819425042;9249;9722;Hauts-de-France;T2 2026
32.0;7;196746.98229151533;9249;10425;Hauts-de-France;T3 2026
32.0;8;205761.31158388738;9249;11327;Hauts-de-France;T4 2026
32.0;9;212073.0095663107;9249;11958;Hauts-de-France;T1 2027
32.0;10;221192.330235735;9249;12870;Hauts-de-France;T2 2027
32.0;11;228220.84433299993;9249;13573;Hauts-de-France;T3 2027
32.0;12;237235.17362537197;9249;14474;Hauts-de-France;T4 2027
32.0;13;243546.8716077953;9249;15105;Hauts-de-France;T1 2028
32.0;14;252666.19227721958;9249;16017;Hauts-de-France;T2 2028
32.0;15;259694.7063744845;9249;16720;Hauts-de-France;T3 2028
32.0;16;268709.0356668565;9249;17621;Hauts-de-France;T4 2028
32.0;17;275020.73364927986;9249;18253;Hauts-de-France;T1 2029
32.0;18;284140.0543187042;9249;19165;Hauts-de-France;T2 2029
32.0;19;291168.5684159691;9249;19867;Hauts-de-France;T3 2029
32.0;20;300182.8977083411;9249;20769;Hauts-de-France;T4 2029
32.0;21;306494.5956907645;9249;21400;Hauts-de-France;T1 2030
32.0;22;315613.9163601888;9249;22312;Hauts-de-France;T2 2030
32.0;23;322642.4304574537;9249;23015;Hauts-de-France;T3 2030
32.0;24;331656.7597498257;9249;23916;Hauts-de-France;T4 2030
44.0;1;145939.39175119417;10299;4294;Grand Est;T1 2025
44.0;2;154056.87313285915;10299;5106;Grand Est;T2 2025
44.0;3;163715.90539318524;10299;6072;Grand Est;T3 2025
44.0;4;173136.01138388846;10299;7014;Grand Est;T4 2025
44.0;5;180784.5743386572;10299;7779;Grand Est;T1 2026
44.0;6;188902.05572032218;10299;8591;Grand Est;T2 2026
44.0;7;198561.0879806483;10299;9557;Grand Est;T3 2026
44.0;8;207981.1939713515;10299;10499;Grand Est;T4 2026
44.0;9;215629.75692612026;10299;11263;Grand Est;T1 2027
44.0;10;223747.2383077852;10299;12075;Grand Est;T2 2027
44.0;11;233406.27056811133;10299;13041;Grand Est;T3 2027
44.0;12;242826.37655881455;10299;13983;Grand Est;T4 2027
44.0;13;250474.93951358326;10299;14748;Grand Est;T1 2028
44.0;14;258592.42089524827;10299;15560;Grand Est;T2 2028
44.0;15;268251.4531555744;10299;16526;Grand Est;T3 2028
44.0;16;277671.5591462776;10299;17468;Grand Est;T4 2028
44.0;17;285320.1221010463;10299;18233;Grand Est;T1 2029
44.0;18;293437.60348271125;10299;19044;Grand Est;T2 2029
44.0;19;303096.6357430374;10299;20010;Grand Est;T3 2029
44.0;20;312516.7417337406;10299;20952;Grand Est;T4 2029
44.0;21;320165.3046885094;10299;21717;Grand Est;T1 2030
44.0;22;328282.7860701743;10299;22529;Grand Est;T2 2030
44.0;23;337941.81833050045;10299;23495;Grand Est;T3 2030
44.0;24;347361.92432120367;10299;24437;Grand Est;T4 2030
52.0;1;91615.42767040391;5731;3430;Pays de la Loire;T1 2025
52.0;2;98100.86523930554;5731;4079;Pays de la Loire;T2 2025
52.0;3;104121.57907533724;5731;4681;Pays de la Loire;T3 2025
52.0;4;110013.28485505046;5731;5270;Pays de la Loire;T4 2025
